Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories
1,250gm,Chicken parmesan with tomato sauce and zucchini noodles., ,None,426
2,250gm,Broccoli-cheese soup., ,None,456
3,250gm,"Spaghetti squash boats with shrimp, tomato sauce, and melted mozzarella.", ,None,495
4,250gm,Bun-less cheeseburgers with bacon. , ,None,480
5,250gm,"Cauliflower fried rice with chicken, eggs, and broccoli", ,None,449
6,250gm,Pesto zucchini noodles with grilled chicken., ,None,570
7,250gm,"Lettuce wrap sandwich with romaine, chicken, cheese, tomato, and mayo. ", ,None,442
8,250gm,"Grilled Chicken with sausage, greens, and melted parmesan.", ,None,520
9,250gm,Chicken parmesan with tomato sauce and zucchini noodles., ,None,466
10,250gm,Broccoli-cheese soup., ,None,456
11,250gm,"Spaghetti squash boats with shrimp, tomato sauce, and melted mozzarella.", ,None,426
12,250gm,Bun-less cheeseburgers with bacon. , ,None,449
13,250gm,"Cauliflower fried rice with chicken, eggs, and broccoli", ,None,570
14,250gm,Pesto zucchini noodles with grilled chicken., ,None,480
15,250gm,"Lettuce wrap sandwich with romaine, chicken, cheese, tomato, and mayo. ", ,None,466
16,250gm,"Grilled Chicken with sausage, greens, and melted parmesan.", ,None,520
17,250gm,"Grilled Chicken with sausage, greens, and melted parmesan.", ,None,495
18,250gm,Chicken parmesan with tomato sauce and zucchini noodles., ,None,466
19,250gm,Broccoli-cheese soup., ,None,442
20,250gm,"Spaghetti squash boats with shrimp, tomato sauce, and melted mozzarella.", ,None,480
21,250gm,Bun-less cheeseburgers with bacon. , ,None,520
22,250gm,"Cauliflower fried rice with chicken, eggs, and broccoli", ,None,449
23,250gm,Pesto zucchini noodles with grilled chicken., ,None,456
24,250gm,"Lettuce wrap sandwich with romaine, chicken, cheese, tomato, and mayo. ", ,None,852
25,250gm,"Grilled Chicken with sausage, greens, and melted parmesan.", ,None,466
26,250gm,"Cauliflower fried rice with chicken, eggs, and broccoli", ,None,442
27,250gm,Pesto zucchini noodles with grilled chicken., ,None,570
28,250gm,"Lettuce wrap sandwich with romaine, chicken, cheese, tomato, and mayo. ", ,None,426
29,250gm,"Grilled Chicken with sausage, greens, and melted parmesan.", ,None,495
30,250gm,"Grilled Chicken with sausage, greens, and melted parmesan.", ,None,456
